Number	System	Body	Piston	Nrv in probe	Handle	x	x2	x3	Fittings	Sales year	Code number	Description	Pcs	2 First	Body/Gas thread	Piston thread	Body description	Piston description	NRV description	Body drawings	Piston drawings	NRV drawings	Fitting drawings	Complete drawing list
5	S	A	3	2	CC	0	0	0	26	2020	5SA32CC00026	MF-S 1/2″BSP-5/8″BSP	13.610	5S	1/2"	5/8"	"1/2"" RG 
MAHOU"	5/8" Massiv	Stop Kugle	707-577	707-239	102-524, 102-527	401-998, 401-784	707-577, 707-239, 102-524, 102-527, 401-998, 401-784
4	G	4	1	2	CA	0	0	0	01	2021	4G412CA00001	MF-GB 1/2″BSP-1/2″BSP	13.459	4G	1/2"	1/2"	"1/2""
Till Sverige"	1/2"	"Stop
Kugle"	703-301	703-101	102-524, 102-527	100-461	703-301, 703-101, 102-524, 102-527, 100-461
4	G	4	1	2	CA	0	0	0	36	2019	4G412CA00036	MF-GB 1/2″BSP-1/2″BSP without STOP	13.240	4G	1/2"	1/2"	"1/2""
Till Sverige"	1/2"	"Stop
Kugle"	703-301	703-101	102-524, 102-527	401-627, PI451214FS	703-301, 703-101, 102-524, 102-527, 401-627, PI451214FS
4	G	4	F	2	CA	0	0	0	26	2022	4G4F2CA00026	MF-GB 1/2″BSP-1/2″BSP	13.020	4G	1/2"	1/2"	"1/2""
Till Sverige"	"1/2""
Damm"	"Stop
Kugle"	703-301	706-141	102-524, 102-527	401-750, 405-015	703-301, 706-141, 102-524, 102-527, 401-750, 405-015
3	M	8	7	3	CA	0	0	0	00	2020	3M873CA00000	MF-M 5/8″BSP 5/8″BSP	12.848	3M	5/8"	5/8"	5/8"	5/8" ø8.5   Holland	Kontraventil	707-420, 106-544	731-104	102-699		707-420, 106-544, 731-104, 102-699
4	D	7	3	3	CC	0	0	0	00	2022	4D733CC00000	MF-D 5/8″BSP-5/8″BSP	11.970	4D	5/8"	5/8"	"5/8""
Rustfri (BP 102-328)"	5/8"	Ring Kontraventil	733-306, 102-328	733-101	733-304, 102-699		733-306, 102-328, 733-101, 733-304, 102-699
4	S	E	M	2	CA	0	0	0	17	2021	4SEM2CA00017	MF-S 1/2″BSP-5/8″BSP Suntory	11.927	4S	1/2"	5/8"	1/2"RG Suntory  m/stop	5/8" RG SUNTORY	Stop Kugle	707-582	707-576	102-524, 102-527	102-581	707-582, 707-576, 102-524, 102-527, 102-581
5	A	1	2	3	CC	0	0	0	04	2020	5A123CC00004	MF-AB 5/8″BSP-5/8″BSP	11.260	5A	5/8"	5/8"	5/8" Seriekobl.	5/8"     ø16 Bond Seriekobl. 	Stop  Kontraventil	703-455	703-230	102-524, 102-699		703-455, 703-230, 102-524, 102-699
3	S	4	A	3	CA	0	0	0	00	2020	3S4A3CA00000	MF-S 5/8″BSP-5/8″BSP	11.128	3S	5/8"	5/8"	5/8"	5/8" Massiv	Kontraventil	707-420, 707-503	707-239	102-699		707-420, 707-503, 707-239, 102-699
3	S	4	A	3	CA	0	0	0	05	2019	3S4A3CA00005	MF-S 5/8″BSP-5/8″BSP	10.900	3S	5/8"	5/8"	5/8"	5/8" Massiv	Kontraventil	707-420, 707-503	707-239	102-699	738-390	707-420, 707-503, 707-239, 102-699, 738-390
5	A	1	2	3	CC	0	0	0	04	2019	5A123CC00004	MF-AB 5/8″BSP-5/8″BSP	10.891	5A	5/8"	5/8"	5/8" Seriekobl.	5/8"     ø16 Bond Seriekobl. 	Stop  Kontraventil	703-455	703-230	102-524, 102-699		703-455, 703-230, 102-524, 102-699
7	A	1	1	6	CA	0	0	0	00	2021	7A116CA00000	MF-AB 1/2″BSP 1/2″BSP	10.814	7A	1/2"	1/2"	1/2"	1/2"	Ring Kontr. m/gum.	703-485	703-260	733-304, 703-121		703-485, 703-260, 733-304, 703-121
8	U	D	3	4	CA	0	0	0	14	2019	8UD34CA00014-U03	MF-U 5/8''BSP-1/2''BSP	10.442	8U	5/8"	1/2"	5/8" Ø9.4 PRV Afdr.anlægsflade	1/2" Opdrejning 2.7	Torpedo Tamperring	709-454	709-161	703-121, 733-304	709-435	709-454, 709-161, 703-121, 733-304, 709-435
3	G	1	1	1	CA	0	0	0	01	2022	3G111CA00001	MF-GB 5/8″BSP-5/8″BSP	10.395	3G	5/8"	5/8"	5/8"	5/8"	Kontraventil	707-420, 703-447	703-197	102-699	100-461	707-420, 703-447, 703-197, 102-699, 100-461
3	S	9	A	3	CA	0	0	0	00	2022	3S9A3CA00000	MF-S 3/4″BSP-5/8″BSP	10.213	3S	3/4"	5/8"	"3/4"" (Ø14X7)
"	5/8" Massiv	Kontraventil	401-472, 707-473	707-239	102-699		401-472, 707-473, 707-239, 102-699
5	S	9	I	9	CC	0	0	0	21	2022	5S9I9CC00021	MF-S 1/2″BSP-5/8″BSP Non Drip	10.000	5S	1/2"	5/8"	"1/2"" RG 
SUNTORY"	5/8" Sapporo non drip	Stop Kugle Ø9.525	707-580	707-603	112-413, 102-917	215-003, 401-991	707-580, 707-603, 112-413, 102-917, 215-003, 401-991
5	S	9	J	0	CC	0	0	0	00	2020	5S9J0CC00000	MF-S 1/2″BSP-1/2″BSP	10.000	5S	1/2"	1/2"	"1/2"" RG 
SUNTORY"	1/2"                      AISI 316 		707-580	707-488			707-580, 707-488
5	S	9	I	9	CC	0	0	0	21	2019	5S9I9CC00021	MF-S 1/2″BSP-5/8″BSP Non Drip	9.794	5S	1/2"	5/8"	"1/2"" RG 
SUNTORY"	5/8" Sapporo non drip	Stop Kugle Ø9.525	707-580	707-603	112-413, 102-917	215-003, 401-991	707-580, 707-603, 112-413, 102-917, 215-003, 401-991
4	A	E	4	9	CA	0	0	0	09	2019	4AE49CA00009-U11	MF-AB 5/8''BSP-5/8''BSP	9.770	4A	5/8"	5/8"	5/8" med PRV	5/8" Standard	Kontraventil  Stop	703-581	703-173	703-121, 102-524	404-321, 404-320	703-581, 703-173, 703-121, 102-524, 404-321, 404-320
5	S	1	K	2	CA	0	0	0	00	2021	5S1K2CA00000	MF-S 1/2″BSP-1/2″BSP Japan	9.752	5S	1/2"	1/2"	1/2"	1/2"                Sapporo	Stop Kugle	707-359	707-553	102-524, 102-527		707-359, 707-553, 102-524, 102-527
5	S	0	3	3	CC	0	0	0	33	2021	5S033CC00033	MF-S 5/8″BSP-5/8″BSP	9.750	5S	5/8"	5/8"	5/8"  Seriekobl.	5/8" Massiv	Kontraventil	707-390	707-239	102-699		707-390, 707-239, 102-699
5	S	1	1	3	CC	0	0	0	00	2019	5S113CC00000	MF-S 1/2″BSP-1/2″BSP	9.480	5S	1/2"	1/2"	1/2"	1/2" Massiv	Kontraventil	707-359	707-119	102-699		707-359, 707-119, 102-699
K	K	1	1	2	CA	2	1	0	00	2021	KK112CA2100	MF-KK 1/2″BSP KeyKeg	9.382	KK	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
5	S	9	J	0	CC	0	0	0	00	2021	5S9J0CC00000	MF-S 1/2″BSP-1/2″BSP	9.300	5S	1/2"	1/2"	"1/2"" RG 
SUNTORY"	1/2"                      AISI 316 		707-580	707-488			707-580, 707-488
7	A	1	1	9	CA	0	0	0	04	2019	7A119CA00004	MF-AB 1/2″BSP-1/2″BSP	9.140	7A	1/2"	1/2"	1/2"	1/2"	Ring Kontr. m/gum.	703-485	703-260	733-304, 703-121		703-485, 703-260, 733-304, 703-121
4	S	1	8	6	CA	0	0	0	00	2021	4S186CA00000	MF-S 1/2″BSP-1/2″BSP	9.027	4S	1/2"	1/2"	1/2"	1/2" Massiv	Ring Kontraventil	707-301	707-119	733-304, 102-699		707-301, 707-119, 733-304, 102-699
3	S	4	A	3	CA	0	0	0	00	2022	3S4A3CA00000	MF-S 5/8″BSP-5/8″BSP	8.980	3S	5/8"	5/8"	5/8"	5/8" Massiv	Kontraventil	707-420, 707-503	707-239	102-699		707-420, 707-503, 707-239, 102-699
4	A	5	3	3	CA	0	0	0	00	2019	4A533CA00000	MF-AB 1/2″BSP-1/2″BSP	8.856	4A	1/2"	1/2"	1/2"	1/2"	Kontraventil	703-416	703-177	102-699		703-416, 703-177, 102-699
3	D	1	4	2	CA	0	0	0	00	2020	3D142CA00000	MF-D 5/8''BSP-5/8''BSP	8.800	3D	5/8"	5/8"	5/8" (BP  102-521)	5/8"	Stop Kugle	707-420, 707-473, 102-521	733-101	102-524, 102-527		707-420, 707-473, 102-521, 733-101, 102-524, 102-527
4	S	E	M	2	CA	0	0	0	17	2022	4SEM2CA00017	MF-S 1/2″BSP-5/8″BSP Suntory	8.600	4S	1/2"	5/8"	1/2"RG Suntory  m/stop	5/8" RG SUNTORY	Stop Kugle	707-582	707-576	102-524, 102-527	102-581	707-582, 707-576, 102-524, 102-527, 102-581
4	A	5	3	2	CA	0	0	0	55	2019	4A532CA00055	MF-AB 1/2″BSP-1/2″BSP	8.393	4A	1/2"	1/2"	1/2"	1/2"	Stop Kugle	703-416	703-177	102-524, 102-527	PI451014FS, 401-788, PM220808S, 401-788, 102-530	703-416, 703-177, 102-524, 102-527, PI451014FS, 401-788, PM220808S, 401-788, 102-530
4	G	4	1	2	CA	0	0	0	36	2020	4G412CA00036	MF-GB 1/2″BSP-1/2″BSP without STOP	8.179	4G	1/2"	1/2"	"1/2""
Till Sverige"	1/2"	"Stop
Kugle"	703-301	703-101	102-524, 102-527	401-627, PI451214FS	703-301, 703-101, 102-524, 102-527, 401-627, PI451214FS
K	K	1	1	2	CA	2	1	0	00	2022	KK112CA2100	MF-KK 1/2″BSP KeyKeg	8.036	KK	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
8	U	D	3	4	CA	0	0	0	14	2022	8UD34CA00014-U03	MF-U 5/8''BSP-1/2''BSP	7.951	8U	5/8"	1/2"	5/8" Ø9.4 PRV Afdr.anlægsflade	1/2" Opdrejning 2.7	Torpedo Tamperring	709-454	709-161	703-121, 733-304	709-435	709-454, 709-161, 703-121, 733-304, 709-435
3	S	4	A	3	CA	0	0	0	00	2021	3S4A3CA00000	MF-S 5/8″BSP-5/8″BSP	7.900	3S	5/8"	5/8"	5/8"	5/8" Massiv	Kontraventil	707-420, 707-503	707-239	102-699		707-420, 707-503, 707-239, 102-699
4	S	7	1	3	CA	0	0	0	70	2021	4S713CA00070	MF-S 1/2″BSP-1/2″BSP	7.730	4S	1/2"	1/2"	1/2" ø8 CO2	1/2" Massiv	Kontraventil	707-379	707-119	102-699	401-627, PI451214FS	707-379, 707-119, 102-699, 401-627, PI451214FS
3	S	9	A	3	CA	0	0	0	00	2019	3S9A3CA00000	MF-S 3/4″BSP-5/8″BSP	7.725	3S	3/4"	5/8"	"3/4"" (Ø14X7)
"	5/8" Massiv	Kontraventil	401-472, 707-473	707-239	102-699		401-472, 707-473, 707-239, 102-699
3	M	8	7	3	CA	0	0	0	00	2022	3M873CA00000	MF-M 5/8″BSP 5/8″BSP	7.469	3M	5/8"	5/8"	5/8"	5/8" ø8.5   Holland	Kontraventil	707-420, 106-544	731-104	102-699		707-420, 106-544, 731-104, 102-699
5	S	0	3	3	CC	0	0	0	33	2020	5S033CC00033	MF-S 5/8″BSP-5/8″BSP	7.250	5S	5/8"	5/8"	5/8"  Seriekobl.	5/8" Massiv	Kontraventil	707-390	707-239	102-699		707-390, 707-239, 102-699
5	S	A	3	2	CC	0	0	0	26	2021	5SA32CC00026	MF-S 1/2″BSP-5/8″BSP	7.220	5S	1/2"	5/8"	"1/2"" RG 
MAHOU"	5/8" Massiv	Stop Kugle	707-577	707-239	102-524, 102-527	401-998, 401-784	707-577, 707-239, 102-524, 102-527, 401-998, 401-784
8	U	D	3	4	CA	0	0	0	14	2021	8UD34CA00014-U03	MF-U 5/8''BSP-1/2''BSP	7.170	8U	5/8"	1/2"	5/8" Ø9.4 PRV Afdr.anlægsflade	1/2" Opdrejning 2.7	Torpedo Tamperring	709-454	709-161	703-121, 733-304	709-435	709-454, 709-161, 703-121, 733-304, 709-435
4	D	7	3	3	CC	0	0	0	00	2021	4D733CC00000	MF-D 5/8″BSP-5/8″BSP	7.152	4D	5/8"	5/8"	"5/8""
Rustfri (BP 102-328)"	5/8"	Ring Kontraventil	733-306, 102-328	733-101	733-304, 102-699		733-306, 102-328, 733-101, 733-304, 102-699
3	S	9	C	0	CA	0	0	0	00	2022	3S9C0CA00000	MF-S 3/4″BSP-5/8″BSP	7.140	3S	3/4"	5/8"	"3/4"" (Ø14X7)
"	5/8" Ø10 Beck/Licher m/absperrh.Ø14x7		401-472, 707-473	707-249			401-472, 707-473, 707-249
7	G	1	1	2	CA	0	0	0	41	2022	7G112CA00041	MF-GB 1/2″BSP-1/2″BSP	7.000	7G	1/2"	1/2"	"1/2""
Spec. Bass"	"1/2""
Spec. Bass"	"Stop
Kugle"	703-495	703-261	102-524, 102-527	405-002, 405-009	703-495, 703-261, 102-524, 102-527, 405-002, 405-009
